rep,proto,ber,e2e_delay,time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
6,reno,1000000,100000,20230905175120.876,10.0.3.20,49854,10.0.0.20,5001,3,0.0-11.0,4849664,3515904
6,cubic,100000,10000,20230905175154.265,10.0.3.20,50422,10.0.0.20,5001,3,0.0-10.0,3538944,2820386
6,cubic,100000,100000,20230905175317.402,10.0.3.20,60910,10.0.0.20,5001,3,0.0-10.8,1048576,774951
6,cubic,1000000,100000,20230905175449.770,10.0.3.20,39384,10.0.0.20,5001,3,0.0-11.0,3407872,2471625
7,reno,100000,10000,20230905175510.790,10.0.3.20,46358,10.0.0.20,5001,3,0.0-10.1,4325376,3421011
7,reno,100000,100000,20230905175600.934,10.0.3.20,37618,10.0.0.20,5001,3,0.0-10.8,655360,486683
7,reno,1000000,10000,20230905175621.731,10.0.3.20,44118,10.0.0.20,5001,3,0.0-10.1,19922944,15855103
7,reno,1000000,100000,20230905175711.903,10.0.3.20,39620,10.0.0.20,5001,3,0.0-10.6,2097152,1587021
7,cubic,100000,10000,20230905175732.933,10.0.3.20,33536,10.0.0.20,5001,3,0.0-10.2,4587520,3582123
7,cubic,100000,100000,20230905175825.609,10.0.3.20,41226,10.0.0.20,5001,3,0.0-12.6,1730360,1098689
7,cubic,1000000,10000,20230905175847.929,10.0.3.20,51742,10.0.0.20,5001,3,0.0-10.8,102236160,75678985
7,cubic,1000000,100000,20230905175940.240,10.0.3.20,49282,10.0.0.20,5001,3,0.0-11.7,15597568,10653150
